State: LNSGKGSNL.B.....R.PPPPPPPPP...........................ppppppppp.r.....b.lnsgkgsnlW | Action (64, 65)
State: LNSGKGSNL.B.....R.PPPPPPPPP..........................ppppppppp..r.....b.lnsgkgsnl+B | Action (5, 13)
State: .NSGKGSNLLB.....R.PPPPPPPPP...........................ppppppppp..r....b.lnsgkgsnl+W | Action (74, 66)
State: LNSGK.SNL.B..G..R.PPPPPPPPP...........................ppppppppp......rb.lnsgkgsnl+B | Action (13, 14)
State: LNSGK.SNL.B...G.R.PPPPPPPPP...........................ppppppppp..rs...b.ln.gkgsnl+W | Action (72, 63)
State: LNSGK.SNL.B...G.R.PPPPPPPPP...........................ppppppppp..rs.k.b.ln.g.gsnl+B | Action (18, 27)
State: LN.GK.SNL.B.S.G.R.PPPPPPPPP...........................pppppppppl.rs...b..n.gkgsnl+W | Action (55, 46)
State: LNSGK.SNL.B...G.R..PPPPPPPPP.........................ppppppppp.l.rs...b..n.gkgsnl+B | Action (3, 11)
State: LN.GK.SNL.BS..G.R..PPPPPPPPP..................p.......p.pppppppl.rs...b..n.gkgsnl+W | Action (46, 37)
State: LNS.K.SNL.BG..G.R..PPPPPPPPP..................p.......p.pppppppl.rsk..b..n.g.gsnl+B | Action (14, 15)
State: LNS...SNL.BG.KG.R..PPPPPPPPP.........p................p.pppppppl.rs...b..n.gkgsnl+W | Action (65, 64)
State: LNS.K.SNL.BG...GR..PPPPPPPPP.........p................p.pppppppl.rs.g.b..n.gk.snl+B | Action (23, 32)
State: LNS.K.SNL.B.G..GR..PPPPPPPPP.........p................p.ppppppplr.s...b..n.gkgsnl+W | Action (77, 69)
State: LNS.K.SNL.BG...GR..PPPP.PPPP....P....p................p.ppppppplr.s.k.b..n.g.gsnl+B | Action (8, 17)
State: LNS.K.SNL.BG....R..PPPPGPPPP....P....p................p.ppppppplr.s..gb..n.gk.snl+W | Action (61, 52)
State: LNS.K.SN..BG...GRL.PPPP.PPPP....P....p................p.ppppppplr.sk.gb..n.g..snl+B | Action (19, 28)
State: LNSK..SN..BG...GRL.PPPP.PPPP....P....p..............p.p.ppppp.plr.s..gb..n.gk.snl+W | Action (76, 77)
State: LNS.K.SN..BG...GRL..PPP.PPPPP...P....p..............p.p.ppppp.plr.s..gbl.n.gk.sn.+B | Action (4, 14)
State: .NS.K.SN..BG...GRLL.PPP.PPPPP...P....p..............p.p.ppppp.plr.s..gb..n.g.ksnl+W | Action (75, 76)
State: LNS...SN..BG..KGRL..PPP.PPPPP...P....p..............p.p.ppppp.plr....gb..nsg.ksnl+B | Action (14, 13)
State: LNS...SN..BG..KGRL..PPP.P.PPP...P.P..p..............p.p.ppppp.plr.s..gb..n..gksnl+W | Action (76, 67)
State: LNS...SN..BG.K.GRL..PPP.PPPPP...P....p..............p.p.ppppp.plr.s.kgb..n..g.snl+B | Action (13, 5)
State: .NS...SN..BG.K.GRLL.PPP.PPPPP...P....p..............p.p.ppppp.plr.sg.gb..n...ksnl+W | Action (67, 76)
State: LNS..KSN..BG...GRL..PPP.PPPPP...P....p...........p..p.p.pp.pp.plr.sg.gb..n...ksnl+B | Action (28, 37)
State: LNS..KSN..BG...GRL..PPP.PPPPP........p...P..........p.p.ppppp.plr.s..gb..n..gksnl+W | Action (64, 46)
State: LNS..KSN..BG...GRL..PPP.PPPP....P....P..............p.p.ppppp.plr.sg.gb..n...ksnl+PB | Action (20, 29)
State: LNS..KSN..BG..G.RL..PPP.PPPP....P....P........r.....p.p.ppppp.pl..s..gb..n..gksnl+W | Action (57, 48)
State: LNS..KSN..BG...GRL...PP.PPPP.P..P....P........r.....p.p.ppppp.pl..sk.gb..n..g.snl+PB | Action (15, 23)
State: L.S..KSN..BG...GRL..NPP.PPPP.P..P....P........r.p...p.p.p.ppp.pl..s..gb..n..gksnl+W | Action (46, 64)
State: LNS..KSN..BG....RL...PPGPPPP.P..P....P........r.p...p.p.p.ppp.pl..s.ggb..n...ksnl+PB | Action (16, 15)
State: LNS..KSN..BG..R..L...PPGPPPP.P..P....P..........p...p.p.p.ppp.plr.s..gb..n..gksnl+W | Action (52, 43)
State: LNS..KSN..BG...R.L...PPGPPPP.P..P....P..........p...ppp.p.ppp..lr.s..gb..n..gksnl+PB | Action (27, 36)
State: LNS..KSN..BG...R.L...PPG.PPP.P..PP...P.....p....p.....p.p.ppp.plr.s..gb..n..gksnl+W | Action (64, 46)
State: LNS..KSN..BG...R.L...PPGPPP..P..P...PP.....p...pp.....p...ppp.plr.s..gb..n..gksnl+PB | Action (10, 30)
State: LNS...SN..BG.K.R.L...PPGPPP..P..P...PP.....p..r.p.....p.p.ppp.pl..s..gb..n..gksnl+W | Action (69, 68)
State: LNS..KSN...G...R.L...PPGPPP..PB.P...PP.....p..r.p.....p.p.ppp.pl..s..gb..n.g.ksnl+PB | Action (29, 38)
State: LNS..KSN...G....RL...PPGPPP..PB.P...PP.....p..r.p.....p.p.ppp.pl..s.g.b..n..gksnl+W | Action (58, 49)
State: LNS..KSN...G...R.L...PPGPPP...B.P...PPP....p..r.p.....p.psppp.pl....g.b..n..gksnl+PB | Action (22, 31)
State: LNS..KSN...G...R.L...PPGPP....B.P..PPPP....p..r.pp....p.p..pp.pl..s.g.b..n..gksnl+W | Action (68, 69)
State: LNS..KSN...G...R.L...P.GPPP...BPP.p.PPP.......r.pp....p.p..pp.pl..s.g.b..n..gksnl+PB | Action (30, 22)
State: LNS..KSN...G...R.L...P.GPPP...B.P...PPP.P..p..r.pp....p.p..pp.pl..s..gb..n..gksnl+W | Action (76, 67)
State: LNS..KSN...G...R.L...PBGPPP....PP...PPP....p..r.pp.p..p.p..p..pl..s..gb..n..gksnl+PB | Action (31, 40)
State: LNS..KSN..G....R.L...PBGPPP....PP...PPP....p..r.pp....p.p..pp.pl..sg.gb..n...ksnl+W | Action (69, 61)
State: LNS..KSN...G...R.L...PBGPPP.....P...PPP.P..p..r.ppp...p.p...p.pl..sg.gb..n...ksnl+PB | Action (22, 12)
State: LNS..KSN...G...R.L...PB.PPP....GP...PPP.P..p..r.pp....p.p..ppgpl..sg..b..n...ksnl+W | Action (66, 76)
State: LNS..KSN...GB..R.L...P.GPPP.....P...PPP.P..p..r.pp....p.ps.ppgpl...g..b..n...ksnl+PB | Action (15, 14)
State: .NS..KSN...GB..R.L...P.GPPPL....P...PPP.P..p..r.pp....p.p..ppgpl...g..b..n..sksnl+W | Action (78, 69)
State: LNS..KSN...GB.R..L...P.GPPP.....P...PPP.P..p..rppp....p....ppgpl...g..b..n..sksnl+PB | Action (6, 16)
State: LNS..KSN...GB...RL...P.GPPP.....P...PPP.P..p..r.pp....p.p..ppgpl...g.sb..n..sk.nl+W | Action (76, 68)
State: LNS..K.N...GB.R.SL...P.GPPP.....P...PPPpP..p..r..p....p.p..ppgpl...g.sb..n..sk.nl+PB | Action (11, 19)
State: LNS..K.N...GB.R.SL.....GPPP...P.P...PPP.P..p..r.pp....p.p..ppgpl...gssb..n...k.nl+W | Action (54, 45)
State: LNS..K.N....B.R.SL.G.P.GPPP.....P...PPP.P..p...rpp....p.p..ppgpl...gssb..n...k.nl+PB | Action (19, 18)
State: LNS..K.N....B.R.SL.G.P.GPPP.....P...PPP....p.pr.pP......p..ppgpl...gssb..n...k.nl+W | Action (46, 55)
State: LNS..K.N....B.R.SLG..P.GPPP.....P...PPP.P..p.pr.pp......p.sppgpl...g.sb..n...k.nl+PB | Action (12, 28)
State: LNS....N....B.RKSLG..P.GPPP.....P...PPP.P..p.p..pp.....rp..ppgpl...gssb..n...k.nl+W | Action (68, 58)
State: LNS..K.N......R.SLG..P.GPPP.B...P...PPP.P..p.p..pp.....rp..ppgpl...gssbl.n...k.n.+PB | Action (36, 45)
State: LNS..K.N....B.R.SLG..P.GPPP.....P...PPP.P..p.p..pp.....rp.sppgpl...g.sb..n...k.nl+W | Action (80, 71)
State: LNS..K.N......R.SLG..P.GPPP.B...P....rP.P..p.P..pp......p.sppgpl...g.sb..n...k.nl+PPB | Action (5, 4)
State: LNS..KSN......R..LG..P.GPPP.B...P....PP.P..p.P..pp.....rp.sppgpl...g.sbl.n...k.n.+W | Action (49, 40)
State: LNS.K..N......R.SLG..P.GPPP.B...P....PP.P..p.P..pp.....rp.sppgpl...g.s.l.n...kbn.+PPB | Action (26, 35)
State: LNS.K..N......R.SLG..PG.PPP.B...P....PP.p..p.P..p......rp.sppgpl...g.sbl.n...k.n.+pW | Action (55, 54)
State: LNS.K..N......R.SLG..P.GPP..B...P..P.PP.p..p.P..p......rp.sppgpl...g.sbl.n..k..n.+PPB | Action (23, 33)
State: LNS.K..N......R.S.G..P.GPPL.B...P..P.PP.p..p.P..p.....r.p.sppgpl...g.sbl.n...k.n.+pW | Action (70, 78)
State: LNS.K..N......R.SLG..P..PP..B...PG.P.PP.p..p.P..p..g..r.p.spp.pl...g.sbl.n...k.n.+PPB | Action (4, 5)
State: LNS.K..N......R.SL...P..PP.GB...PG.P.PP.p..p.P..p.....r.p.sppgpl...g.s.l.n...kbn.+pW | Action (77, 76)
State: LNS..K.N......R.SLG..P..PP..B...PG.P.PP.p..p.P..p......rp.sppgpl...g.s.l.n...kbn.+PPB | Action (28, 20)
State: LNS..K........R.SLG..P..PPN.B...PG.P.PP.p..p.P..p.....r.p.sppgpl...g.s.l.n..k.bn.+pW | Action (59, 50)
State: LNS..K.N......R.SLG.BP..PP......PG.P.PP.p..p.P..p....pr.p.sppg.l...g.s.l.n..k.bn.+PPB | Action (20, 30)
State: LNS..K.N.R......SLG.BP..PP......PG.P.PP.p..p.P..p.p...r.p.s.pgpl...g.s.l.n..k.bn.+pW | Action (67, 66)
State: LNS..K.N......R.SLG..P..PP....B.PG.P.PP.p..p.P..p.p...r.p.s.pgpl..kg.s.l.n....bn.+PPB | Action (1, 20)
State: LNS..K.N.G....R.SL...P..PP....B.PG.P.PP.p..p.P..p.p...r.p.s.pgpl..g..s.l.n..k.bn.+pW | Action (58, 68)
State: L.S..K.N......R.SLG.NP..PP....B.PG.P.PPpp..p.P....p...r.p.s.pgpl..g..s.l.n..k.bn.+PPB | Action (5, 15)
State: L.S..K.N.R......SLG.NP..PP....B.PG.P.PP.p..p.P..p.p...r.p...pgpl..g.ss.l.n..k.bn.+pW | Action (54, 55)
State: L.S....N......RKSLG.NP..PP....B.PG.P.PP.p..p.P..p.p...r.p...pgpl..gkss.l.n....bn.+PPB | Action (35, 44)
State: L.S....N.R.....KSLG.NP..PP....B.PG.P.PP.p..p.P..p.p....rp...pgpl..g.ss.l.n..k.bn.+pW | Action (66, 57)
State: L.S....N......RKSLG.NP..PP....BpPG...PP....pPP..p.p....rp...pgpl..g.ss.l.n..k.bn.+PPB | Action (37, 46)
State: L.S....N......RKSLG.NP..PP....B.P....PP.pG.pPP..p.p....rpg..pgpl....ss.l.n..k.bn.+pW | Action (55, 46)
State: L.S....N......RKSLG.NP..PP....B.PG....P.p..pPPP.p.p..g.rpg..p.pl....ss.l.n..k.bn.+PPB | Action (33, 41)
State: L.S....N.G....RKSL..NP..PP....B.PG....P.p..pPPr.p.p.....pg..pgpl....ss.l.n..k.bn.+ppW | Action (46, 45)
State: L.S....N......RKSLG.NP..PP....B.P.....P.pG.pPPr.p.p..g..pg..p.pl....ss.l.n..k.bn.+PPB | Action (30, 22)
State: L.S....N......RKSLG.NP..PP....B.P.....P.p..pPr..pGp.....pg..pgpl....ss.l.n..k.bn.+pppW | Action (62, 53)
State: L.S....N......RKSLG.NPB.PP......P.....P.pG.pPr..p.p.....pg..pgpl....ssbl.n..k..n.+PPB | Action (14, 11)
State: L.S....N......RKSLG.NPB.PP......P.....P.pG.p.r..p.p..P..pg..pg.l....ss.l.n..k.bn.+pppW | Action (73, 54)
State: L.S....N...R...KSLG.NPB.PP......P.....P.pG.pPr..pgp..p..p...pg.l....ss.l.n..k.bn.+PPB | Action (15, 6)
State: L.S....N.G.R...KSL..NPB.PP......P.....P.pG.pPr..p.p..pn.pg..pg.l....ss.l....k.bn.+pppW | Action (79, 62)
State: L.S...KN...R....SLG.NPB.PP......P.....P.pG.pPr.gp.p..pn.p...pg.l....ss.l....k.bn.+PPB | Action (21, 30)
State: L.S...KN...R....SLG.NPB.PP......P.....P.p.GpPr..p.p..pn.pg..pgnl....ss.l....k.b..+pppW | Action (68, 58)
State: L.S...KN...R....SLG.N.B.PP....P.P.....P.pG.pPr..p.p..pn.pgs.pgnl.....s.l....k.b..+PPB | Action (2, 10)
State: L.S....N...R..K.SLG.N.B.PP....P.P.....P.pG.pPr..p.p..pn.pgs.pgnl.....s.l....k.b..+pppW | Action (61, 51)
State: L.....KN..SR....SLG.N.B.PP....P.P.....P.pG.pPr..p.pp.pn.pgs..gnl.....s.l....k.b..+PPB | Action (30, 39)
State: L.....KN..SR....SLG.N.B.PP......P.....PPpG.pPr..p.pg.pn.pgs.p.nl.....s.l....k.b..+pppW | Action (53, 44)
State: L.....KN..SR....SLG.N.B.PP......P.....PPpG.pPr..p.pg.pn.pg..p.nl....ss.l....k.b..+PPB | Action (41, 49)
State: L......N..SR..K.SLG.N.B.PP......P.....PPpG.ppr..p.pg..n.pgs.p.nl.....s.l....k.b..+ppppW | Action (78, 70)
State: L.....KN..SR....SLG.N.B.PP......P....nPPp..ppr..pGpg....pgs.p.nl.....s.l....k.b..+PPB | Action (49, 48)
State: L.....KN..SR....S.G.N.B.PP......P..L..PPp..ppr..pGpg..n.pgs.p.nl.....sbl....k....+ppppW | Action (69, 79)
State: L.....KN..SR....SLG.N.B.PP......P....nPPp..ppr..G.pg....pgs.p.nl.....sbl....k....+PPPB | Action (22, 14)
State: L.....KN..SR....SLG.N.B.PP......P.....PPp..ppr....pg..n.pgG.p.nl......bl....k..s.+ppppW | Action (76, 66)
State: L.....KN..SR..B.SLr.N...PP......P.....PPp..pp...G.pg..n.pgs.p.nl......bl....k..s.+PPPB | Action (17, 26)
State: L.....KN..SR..B.SL..N...PP..G...P.....PPp..ppr..G.pg..n.pgs.p.nl..k...bl.......s.+ppppW | Action (51, 41)
State: L.....KN..SR..B.S.G.N...PPL.....P.p...PPp...pr..G.pg..n.pgs.p.nl..k...bl.......s.+PPPB | Action (38, 47)
State: L.....KN..SR..B.S.G.N...PP......P.....PPpg.pLr..G.p...n.pgs.p.nl..k...bl.......s.+ppppW | Action (45, 18)
State: L.....KN..SR..B.S.G.N...PPL.....P..p...Ppg.p.r.PG.p...n.pgs.p.nl..k...bl.......s.+PPPB | Action (0, 18)
State: L.....KN..S..RB.S.r.N...PPL.....P......Ppg.pp..PG.p...n.pgs.p.nl..k...bl.......s.+gppppW | Action (66, 74)
State: ......KN..SR..B.S.L.N...PPL.....P......Ppg.pp..PG.p...n.pg..p.nl..k.s.bl.......s.+PPPRB | Action (11, 12)
State: .....K.N..SR..B.S.L.N...PPL.....P......Ppg.pp..PG.p...n.pgs.p.nl......bl..k....s.+gppppW | Action (41, 31)
State: ......KN..S.R.B.S.L.N...PPL.....P......Ppg.pp..pG.p...n..gs.p.nl......bl..k....s.+PPPRB | Action (6, 15)
State: ......KN..S.R.B.S.L.N...PP.....gP......Pp..pL..PG.p...n.pgs.p.nl......bl..k....s.+gppppW | Action (74, 64)
State: .......N..S.R.BKS.L.N...PPL....gP......Pp..pp..Pg.p...n.p.s.p.nl......bl..k....s.+PPPRB | Action (25, 34)
State: .......N..S.R.BKS.L.N...PPL....gP......Pp..pp...G.p...n.Pgs.p.nlk.....bl.......s.+gppppW | Action (31, 21)
State: .......N..S.R.BKS.L.N...P.L....gP.P..n.Pp..pp..PG.p.....pgs.p.nlk.....bl.......s.+PPPRB | Action (16, 25)
State: .......N..S..RBKS.L.Ng..P.L.....P.P....Pp..pp..PG.p...n.pgs.p.nlk.....bl.......s.+gppppW | Action (64, 55)
State: .......N..S.R.BK..L.Ng..PSL.....P.P..n.Pp..pp..PG.p.....pgs.p.nlk.....bl.......s.+PPPRB | Action (12, 21)
State: .......N..S.R.B...L.Ng.KPSL.....P.P....Pp..pp..PG.p...nkpgs.p.nl......bl.......s.+gppppW | Action (79, 69)
State: .......N..S...BK..L.NR..PSL.....P.P....Pp..pp..PG.p...nkpgs.p.nl.....sbl.........+GPPPRB | Action (10, 19)
State: .......N..S...B...L.NR.KPSL.....P.P....Pp..pp..PG.p...nkpgs.p.nl.....sbl.........+gppppW | Action (55, 46)
State: .......N......BK..LSNR..PSL.....P.P....Pp..pp..PG.p...nkpg..p.nl....ssbl.........+GPPPRB | Action (14, 30)
State: .......N......BK..LSNR..PSL.....P.P....Pp..pp.kP..p...n.pgG.p.nl.....sbl.........+gppppW | Action (43, 34)
State: .......N.......K..LSNR..PSL...B.P.P....Pp..pp.kPG.p...n.pgs.p.nl.....s.l........b+GPPPRB | Action (18, 36)
State: .......N.......K..L.NR..PSLS..B.P.p....Pp...p.kPG.p...n.pgs.p.nl.....sbl.........+gpppppW | Action (58, 49)
State: .......N.......K...SNR..PSL...B.P.p.L..Pp...p.kPG.p...n.pgs.p.nl.....s.l........b+GPPPRB | Action (19, 9)
State: .......N.......K...SNR..PSL...B.P.p.L..Pp...p.kP.sp...n.pgG.p.nl.....sbl.........+gpppppW | Action (54, 37)
State: .......N.S.....K....NR..PSL...B.P.p.L..Pp...p..kGsp...n.pg..p.nl.....sbl.........+GPPPRB | Action (26, 44)
State: .......N.S....BK....NR..PSL.....P.p.Ln.Pp...p.kPGsp.....pg..p.nl.....sbl.........+gpppppW | Action (46, 45)
State: .......N.S.....K....NR..PS....B.P.p.LnkPp...L..PGsp.....pg..p.nl.....sbl.........+GPPPPRB | Action (24, 33)
State: .......N.S..R..K....N...PS....B.P.p.Ln.Pp...Lk.PGsp.....pg..p.nl.....sbl.........+gpppppW | Action (40, 31)
State: .......N.S.....K....NR...S....B.PPp.Ln.Pp...L..PGsp...k.pg..p.nl.....sbl.........+GPPPPRB | Action (25, 17)
State: .......N.S.....K....NR...S.....pPPp.LnBP....Lk.PGsp.....pg..p.nl.....sbl.........+gpppppW | Action (45, 54)
State: .......N.S.....K.S..NR........BpPPp.Ln.P...nLk.PGsp.....pg..p..l.....sbl.........+GPPPPRB | Action (7, 24)
State: .......N.S.....K.S..NR........BpPPp..n.P....LL.PGsp...k.pg..p.nl.....sbl.........+gpppppW | Action (57, 48)
State: .........S.....K.S..NR..N.....BpPPp.Ln.P....L..PGsp...k.pg..p.nl.....s.l........b+GPPPPRB | Action (39, 48)
State: .........S.....K.S..N..RN.....BpPPp.Ln.P....L..Pgsp...k.p...p.nl.....sbl.........+ggpppppW | Action (69, 79)
State: .........S.....K.S..NR..N.....BpPPp.Ln......L..PPsp...k.p...p.nl......bl.....s...+GGPPPPRB | Action (30, 22)
State: ...............K.SS.NR..N.....BpPPp.Ln......L..PPsp...k.p...p.nl......bl.......s.+ggpppppW | Action (60, 51)
State: .........S.....K.S..NRB.N......pPPp.Ln......L..PP.p...k.ps..p.nl......bl.......s.+GGPPPPRB | Action (47, 56)
State: .........S.......S..NRB.NK.....pPPp.Ln......L..PPspp..k.p.....nl......bl.......s.+ggpppppW | Action (79, 69)
State: .........S.....K.S..NRB.N......pPPp.Ln....p.L...Psp...k.P.....nl......bl.......s.+GGPPPPPRB | Action (56, 65)
State: .........S.....K.S..NRB........pPPp.Ln...N..L...Pspp..k.P.....nl.....sbl.........+ggpppppW | Action (69, 60)
State: .........S.....K.S..NRB.N......pPPp.Ln......Lk..Pspp..........nl.P...sbl.........+GGPPPPPRB | Action (44, 53)
State: .........S.....K.S..NRB.N......pP.p.Ln....P.L...Pspp..k.....s.nl.P....bl.........+ggpppppW | Action (60, 52)
State: .........S.....K.S..NRB.N......pPPp.Ln...s......P.pp.Lk.....s.nl.P....bl.........+GGPPPPPRB | Action (15, 14)
State: .........S......KS..NRB.N......pPPp.Ln..........PsppsLk.......nl.P....bl.........+ggpppppW | Action (49, 59)
State: .........S....K..S..NRB.N......pPPp.Ln..........PsppsLk.......nl.P.....l......b..+GGPPPPPRB | Action (22, 38)
